google,link,Gender,Rank,year,ecology,macroecology_081512,communityecology_073112,conservation biology 082112,physiological ecology_073112,behavioral ecology 080712,behavioural ecology080912,ecosystem ecology 081912,population_ecology_080912,evolutionary_ecology 080212,theoretical_ecology081412,landscape_ecology081512,paleoecology081512
Andrew J. Tanentzap,http://scholar.google.com/citations?user=-iKYFKkAAAAJ&hl=en,m,,-999,1127,,,,,,,,,,,,
Andrew Jackson,http://scholar.google.com/citations?user=E0sB7fUAAAAJ&hl=en,m,assistant,-999,,,,,,,,,,,37,,
Andrew M Dolman,http://scholar.google.com/citations?user=4lwUZVUAAAAJ&hl=en,m,postdoc,2005,1110,,,,,,,,,,,,
Andrew M Muir,http://scholar.google.com/citations?user=NXEOoR0AAAAJ&hl=en,m,,-999,1268,,,,,,,,,,,,
Andrew M Wilson,http://scholar.google.com/citations?user=b9T6BYcAAAAJ&hl=en,m,assistant,-999,643,,,,,,,,,,,,
Andrew M. Durso,http://scholar.google.com/citations?user=QiOJNl8AAAAJ&hl=en,m,student,0,1549,,,664,,,,,,,,,
Andrew M. Kramer,http://scholar.google.com/citations?user=62NYwcIAAAAJ&hl=en,m,postdoc,2007,,,,,,,,,68,,,,
Andrew M. Liebhold,http://scholar.google.com/citations?user=lw73c08AAAAJ&hl=en,m,,1984,84,,,,,,,,,,,,
Andrew M. Turner,http://scholar.google.com/citations?user=nZni2jMAAAAJ&hl=en,m,full,1994,475,,,,,,,,,,,,
Andrew P Beckerman,http://scholar.google.com/citations?user=I741OU4AAAAJ&hl=en,m,associate,1999,,,30,,,,,,,46,,,
Andrew R Jakubowski,,,student,0,,,,,,,,,,,,,
Andrew Rassweiler,http://scholar.google.com/citations?user=9o7i_cUAAAAJ&hl=en,m,postdoc,2008,,,129,,,,,,,,,,
Andrew Robinson,http://scholar.google.com/citations?user=3gwjr6YAAAAJ&hl=en,m,,1998,602,,,,,,,,,,,,
Andrew S. MacDougall,http://scholar.google.com/citations?user=u8HwhtAAAAAJ&hl=en,m,associate,2004,571,,,,,,,,,,,,
Andrew Schaffner,http://scholar.google.com/citations?user=OISkfmcAAAAJ&hl=en,m,,1997,1025,,,,,,,,,,,,
Andrew Siefert,http://scholar.google.com/citations?user=kTLdaNwAAAAJ&hl=en,m,student,0,1327,,,,,,,,,,,,
Andrew Storfer,http://scholar.google.com/citations?user=mIIzkBcAAAAJ&hl=en,m,associate,1997,,,,86,,,,,,,,,
Andrew W Hill,http://scholar.google.com/citations?user=UqUvFCUAAAAJ&hl=en,m,,2008,856,,,356,,,,,,,,,
Andrij Horodysky,http://scholar.google.com/citations?user=ZXFvpHAAAAAJ&hl=en,m,assistant,2009,,,,438,,,,,,,,,
Andrzej Oleksa,http://scholar.google.com/citations?user=qjrjBnMAAAAJ&hl=en,m,,-999,1311,,,554,,,,,,,,,
Andy J. Green,http://scholar.google.com/citations?user=wTg9HCcAAAAJ&hl=en,m,,1989,,,,62,,,,,,,,,
Angel Vale,http://scholar.google.com/citations?user=9aPTiIIAAAAJ&hl=en,m,student,0,,,,,,,,,,257,,,
Angela D. Luis,http://scholar.google.com/citations?user=XeSd_vMAAAAJ&hl=en,f,postdoc,-999,,,,,,,,,,,54,,
Angela Lausch,http://scholar.google.com/citations?user=gWU0UO0AAAAJ&hl=en,f,,-999,,,,,,,,,,,,50,
Angela M White,http://scholar.google.com/citations?user=1ouoUD0AAAAJ&hl=en,f,,-999,903,,,,,87,,,,,,,
Angela Moles,http://scholar.google.com/citations?user=NbIoSJAAAAAJ&hl=en,f,associate,2003,232,,,,,,,,,,,,
Angelica L. Gonzalez,http://scholar.google.com/citations?user=u7bZ9owAAAAJ&hl=en,f,postdoc,-999,,,,,,,,83,,,,,
Angelo Antonio Agostinho,http://scholar.google.com/citations?user=aLHRwMQAAAAJ&hl=en,m,,-999,,,,29,,,,,,,,,
Angerbjorn A,http://scholar.google.com/citations?user=ldNXZukAAAAJ&hl=en,m,,-999,302,,,,,,,,,,,,
Ann Commagere Hijuelos,http://scholar.google.com/citations?user=n32-odUAAAAJ&hl=en,f,student,0,,,,,,,,,,,,181,
Anna Dornhaus,http://scholar.google.com/citations?user=NlUlAGMAAAAJ&hl=en,f,associate,2002,,,,,,41,,,,,,,
Anna J. MacDonald,http://scholar.google.com/citations?user=5iC6s4QAAAAJ&hl=en,f,postdoc,2008,1490,,,,,,,,,,,,
Anna K. Behrensmeyer,http://scholar.google.com/citations?user=OoKPXq8AAAAJ&hl=en,f,,1973,,,,,,,,,,,,,1
Anna LM Macagno,http://scholar.google.com/citations?user=Cy63BJMAAAAJ&hl=en,f,,-999,1492,,,632,,,,,,,,,
Anna Skoracka,http://scholar.google.com/citations?user=d86uPHoAAAAJ&hl=en,f,assistant,2002,992,,,,,,,,,171,,,
Anna Tornroos,http://scholar.google.com/citations?user=q5ZS69sAAAAJ&hl=en,f,student,0,1552,,261,,,,,,,,,,
Annabel J. Porte,http://scholar.google.com/citations?user=qPhpGZoAAAAJ&hl=en,f,,-999,710,,,,,,,,,,,,
Annaliese Hettinger,http://scholar.google.com/citations?user=GCV0oOAAAAAJ&hl=en,f,postdoc,2012,,,126,,,,,,,,,,
Anne Blach-Overgaard,http://scholar.google.com/citations?user=RchOdVUAAAAJ&hl=en,f,student,0,,123,,,,,,,,,,,
Anne Bronikowski,http://scholar.google.com/citations?user=CWgDE8QAAAAJ&hl=en,f,associate,-999,,,,,,,,,,83,,,
Anne Dozieres,http://scholar.google.com/citations?user=uJv4IsQAAAAJ&hl=en,f,student,0,1712,,,752,,,,,,,,,
Anne K Eggert,http://scholar.google.com/citations?user=hU_7OScAAAAJ&hl=en,f,,-999,,,,,,53,,,,,,,
Anne Peters,http://scholar.google.com/citations?user=jpoOPNEAAAAJ&hl=en,f,associate,2001,,,,,,,24,,,,,,
Anne Pusey,http://scholar.google.com/citations?user=LNWymLwAAAAJ&hl=en,f,full,1978,,,,,,6,,,,,,,
Anne Ruimy,http://scholar.google.com/citations?user=xHHvYMkAAAAJ&hl=en,f,,1995,369,,,,,,,,,,,,
Anne-Maimiti Dulaurent,http://scholar.google.com/citations?user=N2guSLkAAAAJ&hl=en,f,postdoc,2010,1612,,,,,,,,,,,,
Anne-Sophie Bertrand,http://scholar.google.com/citations?user=ZTHigyoAAAAJ&hl=en,f,,-999,,,,705,,,,,,,,,
Annette Ostling,http://scholar.google.com/citations?user=MA4mtZEAAAAJ&hl=en,f,assistant,2004,,,62,,,,,,,,30,,
Annie Zuiderwijk,http://scholar.google.com/citations?user=qdn4kqwAAAAJ&hl=en,f,,-999,,,,229,,,,,,,,,
Antal Nagy,http://scholar.google.com/citations?user=6DHTPb0AAAAJ&hl=en,m,,-999,1395,,,,,,,,,,,,
Anthony Fischbach,http://scholar.google.com/citations?user=-nULu7oAAAAJ&hl=en,m,,-999,,,,344,,,,,,,,,
Anthony I Dell,http://scholar.google.com/citations?user=9bB2ZRQAAAAJ&hl=en,m,postdoc,-999,1017,,,,,,,,,,,,
Anthony R Clarke,http://scholar.google.com/citations?user=9AIIt6oAAAAJ&hl=en,m,,-999,476,,,,,,,,,,,,
Anthony Riordan Palmer,http://scholar.google.com/citations?user=s6dyNn4AAAAJ&hl=en,m,,-999,569,,,,,,,,,,,,
Antoine Guisan,http://scholar.google.com/citations?user=89DB5TMAAAAJ&hl=en,m,associate,1996,25,,,,,,,,,,,,
Antoine Kalinganire,http://scholar.google.com/citations?user=wxYbX4sAAAAJ&hl=en,m,,-999,,,,373,,,,,,,,,
Anton Pauw,http://scholar.google.com/citations?user=JCV10joAAAAJ&hl=en,m,associate,2004,,,82,,,,,,,132,,,
Anton Van de Putte,http://scholar.google.com/citations?user=GhiruH4AAAAJ&hl=en,m,,2008,1246,,,,,,,,,,,,
Antoni Margalida,http://scholar.google.com/citations?user=u7KGlXwAAAAJ&hl=en,m,,-999,,,,173,,,29,,,,,,
antonietta specchiulli,http://scholar.google.com/citations?user=USdyhAMAAAAJ&hl=en,f,,-999,1297,,,,,,,,,,,,
Antonio Alejandro Vazquez Perera,http://scholar.google.com/citations?user=a3J4VjgAAAAJ&hl=en,m,,-999,1377,,,607,,,,,,,,,
Antonio Baeza,http://scholar.google.com/citations?user=Gwyw_mwAAAAJ&hl=en,m,,2006,,,,,,65,,,,,,,
Antonio Celis-Murillo,http://scholar.google.com/citations?user=UcKX-nkAAAAJ&hl=en,m,student,0,,,,,,179,,,,,,,
Antonio Donato Nobre,http://scholar.google.com/citations?user=gRvIlNcAAAAJ&hl=en,m,,1994,284,,,,,,,,,,,,
Antonio Maldonado,http://scholar.google.com/citations?user=uPQmef4AAAAJ&hl=en,m,,-999,,,,,,,,,,,,,48
Antonio Mira,http://scholar.google.com/citations?user=SfTK73IAAAAJ&hl=en,m,,-999,,,,386,,,,,,,,106,
Antonio T. Mingozzi,http://scholar.google.com/citations?user=puMFH_UAAAAJ&hl=en,m,,-999,852,,,,,,,,,,,,
Antonio Venceslau Aguiar,http://scholar.google.com/citations?user=EJNqo8QAAAAJ&hl=en,m,student,0,,,,525,,,,,,,,,
Anurag A. Agrawal,http://scholar.google.com/citations?user=gQ0QCfAAAAAJ&hl=en,m,full,1999,,,9,,,,,,,,,,
April Reside,http://scholar.google.com/citations?user=z2jRx3QAAAAJ&hl=en,f,postdoc,2012,,,,548,,,,,,,,,
Arash Ghoddousi,http://scholar.google.com/citations?user=OmRgfaQAAAAJ&hl=en,,,-999,,,,684,,,,,,,,,
Ariadna Valentina Lopes,http://scholar.google.com/citations?user=40KdBUUAAAAJ&hl=en,f,,2002,,,,243,,,,,,,,,
Arianne Albert,http://scholar.google.com/citations?user=v1zxLScAAAAJ&hl=en,f,postdoc,2008,965,,,,,,,,,,,,
Ariel Novoplansky,http://scholar.google.com/citations?user=GWjY4X8AAAAJ&hl=en,m,,1990,,,44,,,,,,,72,,,
Aristeidis Parmakelis,http://scholar.google.com/citations?user=eaNpqN8AAAAJ&hl=en,m,,2003,891,,,,,,,,,,,,
Armando Apan,http://scholar.google.com/citations?user=UUmfZWsAAAAJ&hl=en,m,associate,-999,682,,,,,,,,,,,,
Arne Janssen,http://scholar.google.com/citations?user=fv2ZK5kAAAAJ&hl=en,m,full,-999,236,,,,,,,,,,,,
Arnon Lotem,http://scholar.google.com/citations?user=BsTOfMUAAAAJ&hl=en,m,,1992,,,,,,42,,,,,,,
Arnulf Koehncke,http://scholar.google.com/citations?user=Bed5uzEAAAAJ&hl=en,m,student,0,,,,,,,,,,,74,,
Arpat Ozgul,http://scholar.google.com/citations?user=_EXXIqAAAAAJ&hl=en,m,,2006,,,,,,,,,39,,,,
Arthur C. Bent,http://scholar.google.com/citations?user=f8VfB00AAAAJ&hl=en,m,dead,-999,97,,,,,,,,,,,,
Arthur E. Weis,http://scholar.google.com/citations?user=uWTo8-MAAAAJ&hl=en,m,full,1981,189,,,,,,,,,,,,
Artur Golawski,http://scholar.google.com/citations?user=_vewRe4AAAAJ&hl=en,m,,-999,982,,,,,,,,,,,,
Arturo Ramirez Valdez,http://scholar.google.com/citations?user=2T7rC7oAAAAJ&hl=en,m,,-999,,,,706,,,,,,,,,
Arunkumar KP,http://scholar.google.com/citations?user=ULS1W7wAAAAJ&hl=en,m,,-999,1140,,,,,,,,,,,,
Aryanne Amaral,http://scholar.google.com/citations?user=Rn2ogtYAAAAJ&hl=en,,student,0,,,244,,,,,,,,,,
Asaf Tsoar,http://scholar.google.com/citations?user=1gH5moUAAAAJ&hl=en,m,,2011,,,,239,,,,,,,,,
Ashley Helton,http://scholar.google.com/citations?user=KIma8IQAAAAJ&hl=en,f,postdoc,-999,732,,,,,,,,,,,,
Ashley Keiser,http://scholar.google.com/citations?user=qpIAqREAAAAJ&hl=en,f,student,0,1604,,,,,,,,,,,,
Ashley M. Helton,,,,-999,733,,,,,,,,,,,,
ashwani kumar thukral,http://scholar.google.com/citations?user=AxGPCwoAAAAJ&hl=en,,,-999,1236,,,,,,,,,,,,
Asko Noormets,http://scholar.google.com/citations?user=KBSM2VIAAAAJ&hl=en,m,,2001,,,,,,,,24,,,,,
Astrid de Matos Peixoto Kleinert,http://scholar.google.com/citations?user=yuJDU-YAAAAJ&hl=en,f,,1989,636,,,,,,,,,,,,
Athol Whitten,http://scholar.google.com/citations?user=5eV6YpQAAAAJ&hl=en,m,,-999,1554,,,,,,,,,,,,
Atsunobu Kadono,http://scholar.google.com/citations?user=dvfnlAsAAAAJ&hl=en,m,assistant,-999,,,,,,,,87,,,,,
Attila Lengyel,http://scholar.google.com/citations?user=dy9cRXIAAAAJ&hl=en,m,student,0,1599,,,,,,,,,,,,
Aurelio Malo Valenzuela,http://scholar.google.com/citations?user=aydFU38AAAAJ&hl=en,m,,2003,,,,,,,,,,124,,,
Austin Milt,http://scholar.google.com/citations?user=DHYTYWwAAAAJ&hl=en,m,student,0,1691,,,737,,,,,,,,,
Aveliina Helm,http://scholar.google.com/citations?user=CUS7cWwAAAAJ&hl=en,f,,2007,705,,,,,,,,,,,69,
Avtandil Amiranashvili,http://scholar.google.com/citations?user=WF2hBKMAAAAJ&hl=en,m,,-999,1578,,,,,,,,,,,,
Ayaka W. Kishimoto-Mo,http://scholar.google.com/citations?user=r3aegBgAAAAJ&hl=en,f,,1998,,,,,,,,38,,,,,
Ayana B. Martins,http://scholar.google.com/citations?user=_PN3wlEAAAAJ&hl=en,f,student,0,1657,,,,,,,,,,,,
Ayaz Hyder,http://scholar.google.com/citations?user=0gv1iIoAAAAJ&hl=en,m,postdoc,-999,1260,,,,,,,,,,,,
Ayre DJ,,,,1983,,,,,,,,,,,,,
Ayyanar M,http://scholar.google.com/citations?user=L5iWzxwAAAAJ&hl=en,,,-999,,,,266,,,,,,,,,
B Staffan Lindren,http://scholar.google.com/citations?user=scb4iZgAAAAJ&hl=en,m,,1982,515,,,,,,,,,,,,
b. Irene Tieleman,http://scholar.google.com/citations?user=QfKgQoYAAAAJ&hl=en,f,full,-999,,,,165,,,,,,,,,
B. Michael Walton,http://scholar.google.com/citations?user=9sD-bUkAAAAJ&hl=en,m,associate,1988,796,,92,293,,,,,,,,,
BA Hawkins,http://scholar.google.com/citations?user=oFpd_SAAAAAJ&hl=en,m,full,1984,,4,,,,,,,,,,,
Babak Momeni,http://scholar.google.com/citations?user=KiX86RQAAAAJ&hl=en,m,postdoc,2007,742,,,,,,,,,,,,
Balint Marko,http://scholar.google.com/citations?user=aok3yN8AAAAJ&hl=en,m,,2001,,,,,,,70,,,,,,
Banugopan Kesavaraju,http://scholar.google.com/citations?user=Styi77QAAAAJ&hl=en,,,2007,,,118,,,,,,,,,,
Barbara A. Han,http://scholar.google.com/citations?user=W-95SUkAAAAJ&hl=en,f,postdoc,2008,,,,351,,,,,,,,,
Barbara J. Anderson,http://scholar.google.com/citations?user=X0TG5VcAAAAJ&hl=en,f,,-999,691,,,,,,,,,,,,
Bard-Jorgen Bardsen,http://scholar.google.com/citations?user=5cnAOn0AAAAJ&hl=en,m,,2009,,,,,,,,,55,,,,
Barney Luttbeg,http://scholar.google.com/citations?user=eh-FRKAAAAAJ&hl=en,m,assistant,1997,,,,,,60,,,,,32,,
Barry Pinshow,http://scholar.google.com/citations?user=-2orJ8MAAAAJ&hl=en,m,full,1975,,,,,8,,,,,,,,
Barry W. Brook,http://scholar.google.com/citations?user=-NjjXUYAAAAJ&hl=en,m,full,-999,100,,,32,,,,,,,,,
Bart Adriaenssens,http://scholar.google.com/citations?user=0_Yh5_gAAAAJ&hl=en,m,,2010,,,,,,165,,,,,,,
Bas Ibelings,http://scholar.google.com/citations?user=9HGPs6MAAAAJ&hl=en,m,,1992,321,,,,,,,,,,,,
Bas Kooijiman,http://scholar.google.com/citations?user=4PyzI8UAAAAJ&hl=en,m,full,1977,117,,,,,,,,,,,,
Bas van Geel,http://scholar.google.com/citations?user=8b0XQ64AAAAJ&hl=en,m,,1976,,,,,,,,,,,,,3
Basdeo Kushwaha,http://scholar.google.com/citations?user=UyXaJA4AAAAJ&hl=en,,,-999,,,,460,,,,,,,,,
Beatrix Beisner,http://scholar.google.com/citations?user=1l6DxcAAAAAJ&hl=en,f,,2000,518,,,,,,,,,,,,
beatriz arroyo,http://scholar.google.com/citations?user=vslomGQAAAAJ&hl=en,f,,-999,,,,149,,,,,,,,,
Bela Tothmeresz,http://scholar.google.com/citations?user=j0z9gGcAAAAJ&hl=en,m,full,-999,372,,,,,,,,,,,,
Belinda Gallardo,http://scholar.google.com/citations?user=2FBLJ-IAAAAJ&hl=en,f,postdoc,2009,1270,,,,,,,,,,,,
Bella Japoshvili,http://scholar.google.com/citations?user=Za37buQAAAAJ&hl=en,f,assistant,-999,1682,,,,,,,,,,,,
Ben Bolker,http://scholar.google.com/citations?user=46PlMvwAAAAJ&hl=en,m,full,1993,140,,,,,,,,,,,,
Ben C Sheldon,http://scholar.google.com/citations?user=pTdxVdIAAAAJ&hl=en,m,full,-999,37,,,,,,,,,,,,
Ben Chapman,http://scholar.google.com/citations?user=0FEptuMAAAAJ&hl=en,m,postdoc,-999,1037,,,,,,,,,,,,
Ben Dantzer,http://scholar.google.com/citations?user=DDtrs1EAAAAJ&hl=en,m,postdoc,2012,,,,,40,147,,,,215,,,
Ben Somers,http://scholar.google.com/citations?user=d1xA9mEAAAAJ&hl=en,m,,-999,,,,,,,,,,,,107,
Ben T Hirsch,http://scholar.google.com/citations?user=pLu2xMIAAAAJ&hl=en,m,postdoc,2007,,,,,,108,,,,,,,
Beneharo Rodriguez,http://scholar.google.com/citations?user=yVCG3TAAAAAJ&hl=en,m,,-999,1194,,,,,,,,,,,,
Benigno Elvira,http://scholar.google.com/citations?user=uxL3XqQAAAAJ&hl=en,m,full,-999,435,,,152,,,,,,,,,
Benjamin Baiser,http://scholar.google.com/citations?user=_UVIApcAAAAJ&hl=en,m,postdoc,2009,,116,213,,,,,,,,,,
Benjamin Burger,http://scholar.google.com/citations?user=plGW5PgAAAAJ&hl=en,m,assistant,2009,,,,,,,,,,,,,91
Benjamin C. Haller,http://scholar.google.com/citations?user=4drbuAUAAAAJ&hl=en,m,student,0,1594,,,,,,,,,,,,
Benjamin Croak,http://scholar.google.com/citations?user=PElRYZUAAAAJ&hl=en,m,student,0,1435,,,,,,,,,,,,
Benjamin Gilbert,http://scholar.google.com/citations?user=3kI7yKEAAAAJ&hl=en,m,assistant,2008,681,,,,,,,,,,,,
Benjamin J. Clemens,http://scholar.google.com/citations?user=ipnBUyoAAAAJ&hl=en,m,,-999,1136,,,,,,,,,,,,
Benjamin J. Toscano,http://scholar.google.com/citations?user=yy-mleoAAAAJ&hl=en,m,student,0,,,269,,,,,,,,,,
Benjamin Jarcuska,http://scholar.google.com/citations?user=LlRbKw4AAAAJ&hl=en,m,postdoc,2011,1551,,,,,,,,,,,,
Benjamin L Turner,http://scholar.google.com/citations?user=k13ZV_wAAAAJ&hl=en,m,,2000,,,,,,,,13,,,,,
Benjamin Martin,http://scholar.google.com/citations?user=iHpSPB0AAAAJ&hl=en,m,student,0,1713,,,,,,,,,,,,
Benjamin P. Colman,http://scholar.google.com/citations?user=x19pzREAAAAJ&hl=en,m,postdoc,2009,,,,,,,,57,,,,,
Benjamin Parker,http://scholar.google.com/citations?user=fUvp6ekAAAAJ&hl=en,m,student,0,,,,,,,,,,168,,,
Benjamin Risk,http://scholar.google.com/citations?user=Hq4ecnQAAAAJ&hl=en,m,student,0,1597,,,,,,,,,,,,
Benjamin S Ramage,http://scholar.google.com/citations?user=BZt8IY0AAAAJ&hl=en,m,postdoc,2011,,,246,,,,,,,,,,
Benjamin S. Halpern,http://scholar.google.com/citations?user=6XVuz14AAAAJ&hl=en,m,,2003,,,,22,,,,,,,,,
Benjamin Sikes,http://scholar.google.com/citations?user=oEy88sEAAAAJ&hl=en,m,student,0,,,181,509,,,,,,,,,
Benjamin Taft,http://scholar.google.com/citations?user=zzvM_EIAAAAJ&hl=en,m,,2011,,,,,,140,,,,,,,
Benjamin Trumble,http://scholar.google.com/citations?user=j9OvBCoAAAAJ&hl=en,m,postdoc,2012,,,,,,188,,,,,,,
Benoni H. Seghers,http://scholar.google.com/citations?user=1GAyqKkAAAAJ&hl=en,m,,-999,,,,111,,,,,,,,,
Bentley Kaplan,http://scholar.google.com/citations?user=PLCWohMAAAAJ&hl=en,m,student,0,,,,,,,116,,,,,,
Berces Sandor,http://scholar.google.com/citations?user=YjT0fe8AAAAJ&hl=en,,,-999,1644,,,,,,,,,,,,
Berges Laurent,http://scholar.google.com/citations?user=EmqXp_wAAAAJ&hl=en,m,,2005,,,,,,,,,,,,101,
Bernard Cazelles,http://scholar.google.com/citations?user=KGuKyzIAAAAJ&hl=en,m,,-999,469,,,,,,,,,,,,
Bernard Wone,http://scholar.google.com/citations?user=QANRcMAAAAAJ&hl=en,m,postdoc,2011,,,,,41,,,,,,,,
Bernard WT Coetzee,http://scholar.google.com/citations?user=sRFFlPAAAAAJ&hl=en,m,student,0,,,,522,,,,,,,,,
Bernd Blasius,http://scholar.google.com/citations?user=hDRCDJwAAAAJ&hl=en,m,,-999,,,,,,,,,,,11,,
Bernhard Schmid,http://scholar.google.com/citations?user=GK-0yuEAAAAJ&hl=en,m,full,1981,20,,,,,,,,,,,,
Berry Brosi,http://scholar.google.com/citations?user=x5nK0lkAAAAJ&hl=en,m,assistant,2006,758,,,286,,,,,,,,,
Bert Bredeweg,http://scholar.google.com/citations?user=MjKjmr0AAAAJ&hl=en,m,associate,-999,395,,,,,,,,,,,,
Bert Hidding,http://scholar.google.com/citations?user=UhVYwsAAAAAJ&hl=en,m,postdoc,-999,1319,,,,,,,,,,,,
Bettine Jansen van Vuuren,http://scholar.google.com/citations?user=dpeV7AgAAAAJ&hl=en,f,full,-999,,,,262,,,,,,,,,
Bharat Patel,http://scholar.google.com/citations?user=e7aoaykAAAAJ&hl=en,m,full,-999,164,,,,,,,,,,,,
Bharath Sundaram,http://scholar.google.com/citations?user=W9tM-KoAAAAJ&hl=en,,assistant,-999,1383,,,,,,,,,,,,
Bhuwon Sthapit,http://scholar.google.com/citations?user=UOnBFE4AAAAJ&hl=en,,,-999,,,,119,,,,,,,,,
Biao Zhu,http://scholar.google.com/citations?user=iKQtxxIAAAAJ&hl=en,m,,2010,,,,,,,,51,,,,,
Bibiana Rojas,http://scholar.google.com/citations?user=H0oiHTAAAAAJ&hl=en,f,,-999,,,,,,,110,,,255,,,
Bin Ma,http://scholar.google.com/citations?user=xx8D9lAAAAAJ&hl=en,,,-999,1334,,,,,,,,,,,,
Biogeografia Ecologica Integrativa,,,,,53,,,,,,,,,,,,
Birgitte I. McDonald,http://scholar.google.com/citations?user=O9ljpOoAAAAJ&hl=en,f,postdoc,2009,,,,,29,83,,,,,,,
Bishwo Mainali,http://scholar.google.com/citations?user=t6H4vasAAAAJ&hl=en,,student,0,1499,,,,,,,,,,,,
BJ Fu,http://scholar.google.com/citations?user=ycmnookAAAAJ&hl=en,m,,-999,132,,,,,,,,,,,,
Bjarni Kristofer Kristjansson,http://scholar.google.com/citations?user=5-H_O-4AAAAJ&hl=en,m,associate,2009,,,,,,,,,,169,,,
Bjorn C. Rall,http://scholar.google.com/citations?user=6FQ1NjQAAAAJ&hl=en,m,Lecturer,-999,704,,,,,,,,,,,,
Bjorn Ostman,http://scholar.google.com/citations?user=1GNH4AUAAAAJ&hl=en,m,postdoc,2010,1500,,,,,,,,,,,,
BJT Morgan,http://scholar.google.com/citations?user=uozzoRUAAAAJ&hl=en,m,full,1972,171,,,,,,,,,,,,
BK Tiwari,http://scholar.google.com/citations?user=66izMvkAAAAJ&hl=en,,full,1981,848,,,,,,,,,,,,
Blaine D. Griffen,http://scholar.google.com/citations?user=mnUnD2wAAAAJ&hl=en,m,assistant,2007,,,93,,26,,,,37,,,,
Blair O. Wolf,http://scholar.google.com/citations?user=gzkDWSgAAAAJ&hl=en,m,associate,1996,,,,,16,,,,,,,,
Blake E. Feist,,,,-999,,,,,,,,,,,,75,
Blake E. Feist,http://scholar.google.com/citations?user=DtZmTZEAAAAJ&hl=en,m,,1999,735,,,,,,,,,,,74,
Blake Matthews,http://scholar.google.com/citations?user=KPOcG_sAAAAJ&hl=en,m,,2005,765,,,,,,,,,,,,
Blake Stacey,http://scholar.google.com/citations?user=vvpkTXsAAAAJ&hl=en,m,,-999,,,,,,,,,,207,,,
Blanckaert Koen,http://scholar.google.com/citations?user=2Fzmpg0AAAAJ&hl=en,,,-999,622,,,,,,,,,,,,
Blue Ventures,,,,-999,,,,469,,,,,,,,,
Bo Dalsgaard,http://scholar.google.com/citations?user=VYH6DGUAAAAJ&hl=en,m,postdoc,2009,,,174,,,,,,,,,,
Bob Elwood,http://scholar.google.com/citations?user=JoEJgSUAAAAJ&hl=en,m,full,1975,,,,,,12,5,,,,,,
Bob O'Hara,http://scholar.google.com/citations?user=OpCdJIEAAAAJ&hl=en,m,,-999,182,,,,,,,,,,,,
Bob Pohlad,http://scholar.google.com/citations?user=UVpJMoIAAAAJ&hl=en,m,full,1978,1143,,,,,,,,,,,,
Bob Smith,http://scholar.google.com/citations?user=JQJ_kz8AAAAJ&hl=en,m,,-999,,,,219,,,,,,,,,
Bogaert Jan,http://scholar.google.com/citations?user=3fthAoEAAAAJ&hl=en,m,,-999,,,,,,,,,,,,49,
Bonacic C,http://scholar.google.com/citations?user=AcJZnfEAAAAJ&hl=en,m,associate,1996,838,,,312,,,,,,,,,
Bonnie J. Becker,http://scholar.google.com/citations?user=6nnp7XcAAAAJ&hl=en,f,assistant,2005,,,,375,,,,,,,,,
Bonnie Jacobs,http://scholar.google.com/citations?user=CKUjiIMAAAAJ&hl=en,f,associate,1983,,,,,,,,,,,,,27
Boran Altincicek,http://scholar.google.com/citations?user=Zp-FwowAAAAJ&hl=en,m,,2002,256,,,,,,,,,,,,
Boris Leroy,http://scholar.google.com/citations?user=7HzlVT4AAAAJ&hl=en,m,student,0,1708,,,748,,,,,,,,,
"Both, C.",http://scholar.google.com/citations?user=Gktz8l4AAAAJ&hl=en,m,associate,1998,178,,,,,,,,,,,,
Bozo Draskovic,http://scholar.google.com/citations?user=cW1Z_mYAAAAJ&hl=en,m,,1990,1518,,,,,,,,,,,,
Bracha Y. Schindler,http://scholar.google.com/citations?user=VrhFO3kAAAAJ&hl=en,,student,0,1715,,,,,,,,,,,,
Brad Boyle,http://scholar.google.com/citations?user=f5is9HAAAAAJ&hl=en,m,,-999,,107,,,,,,,,,,,
Brad Case,http://scholar.google.com/citations?user=MEihtK0AAAAJ&hl=en,m,,-999,,,,,,,,,,,,108,
Brady Allred,http://scholar.google.com/citations?user=oK2astEAAAAJ&hl=en,m,student,0,1479,,,,,,,,,,,,
Brady R. Cunningham,http://scholar.google.com/citations?user=j0-JhUcAAAAJ&hl=en,m,student,0,1687,,,,,,,,,,,,
Brandon Bestelmeyer,http://scholar.google.com/citations?user=-pAIaocAAAAJ&hl=en,m,,-999,319,,,,,,,,,,,,
Brandon Klug,http://scholar.google.com/citations?user=Fw8QcocAAAAJ&hl=en,m,student,0,,,,,39,,,,,,,,
Brandon Wheeler,http://scholar.google.com/citations?user=5axMdwYAAAAJ&hl=en,m,postdoc,2009,,,,,,146,,,,,,,
Branka Tucic,http://scholar.google.com/citations?user=ZFd4kT8AAAAJ&hl=en,,,1980,,,,,,,,,,190,,,
Brenda B Lin,http://scholar.google.com/citations?user=cRxhU-cAAAAJ&hl=en,f,,2006,,,,,,,,,,,,100,
Brendan C Ebner,http://scholar.google.com/citations?user=xgq8iZMAAAAJ&hl=en,m,postdoc,-999,1029,,,,,,,,,,,,
Brendan Godley,http://scholar.google.com/citations?user=i_FDZDwAAAAJ&hl=en,m,full,1998,176,,,,,,,,,,,,
Brenden Holland,http://scholar.google.com/citations?user=xn8GpOcAAAAJ&hl=en,m,,-999,,,,202,,,,,,,,,
